,title,labelnumber,cluster_ID,0
0,,,,t0093x0415y0079ps64.tif
1,,,,9304150079.0
2,,,,[1]
3,,,,t0608x0095y0143ps64.tif
4,,,,60800950143.0
5,,,,[1]
6,,,,t0425x0223y0079ps64.tif
7,,,,42502230079.0
8,,,,[1]
9,,,,t0610x0159y0079ps64.tif
10,,,,61001590079.0
11,,,,[1]
12,,,,t0267x0351y0143ps64.tif
13,,,,26703510143.0
14,,,,[1]
15,,,,t0354x0415y0143ps64.tif
16,,,,35404150143.0
17,,,,[0]
18,,,,t0792x0287y0079ps64.tif
19,,,,79202870079.0
20,,,,[0]
21,,,,t0352x0159y0207ps64.tif
22,,,,35201590207.0
23,,,,[1]
24,,,,t0498x0223y0079ps64.tif
25,,,,49802230079.0
26,,,,[0]
27,,,,t0985x0159y0143ps64.tif
28,,,,98501590143.0
29,,,,[1]
30,,,,t0877x0223y0079ps64.tif
31,,,,87702230079.0
32,,,,[0]
33,,,,t0762x0351y0143ps64.tif
34,,,,76203510143.0
35,,,,[1]
36,,,,t0651x0415y0143ps64.tif
37,,,,65104150143.0
38,,,,[1]
39,,,,t0315x0159y0079ps64.tif
40,,,,31501590079.0
41,,,,[0]
42,,,,t0657x0159y0207ps64.tif
43,,,,65701590207.0
44,,,,[1]
45,,,,t0297x0287y0079ps64.tif
46,,,,29702870079.0
47,,,,[0]
48,,,,t0920x0095y0079ps64.tif
49,,,,92000950079.0
50,,,,[1]
51,,,,t0550x0223y0015ps64.tif
52,,,,55002230015.0
53,,,,[2]
54,,,,t0418x0351y0079ps64.tif
55,,,,41803510079.0
56,,,,[1]
57,,,,t0708x0287y0143ps64.tif
58,,,,70802870143.0
59,,,,[0]
60,,,,t0187x0351y0143ps64.tif
61,,,,18703510143.0
62,,,,[0]
63,,,,t0130x0287y0207ps64.tif
64,,,,13002870207.0
65,,,,[0]
66,,,,t0402x0223y0143ps64.tif
67,,,,40202230143.0
68,,,,[1]
69,,,,t0630x0351y0015ps64.tif
70,,,,63003510015.0
71,,,,[2]
72,,,,t0555x0095y0143ps64.tif
73,,,,55500950143.0
74,,,,[0]
75,,,,t0778x0223y0079ps64.tif
76,,,,77802230079.0
77,,,,[0]
78,,,,t0472x0287y0079ps64.tif
79,,,,47202870079.0
80,,,,[0]
81,,,,t0107x0223y0143ps64.tif
82,,,,10702230143.0
83,,,,[0]
84,,,,t0482x0351y0143ps64.tif
85,,,,48203510143.0
86,,,,[1]
87,,,,t0177x0287y0079ps64.tif
88,,,,17702870079.0
89,,,,[1]
90,,,,t0335x0351y0015ps64.tif
91,,,,33503510015.0
92,,,,[2]
93,,,,t0050x0095y0143ps64.tif
94,,,,5000950143.0
95,,,,[0]
96,,,,t0150x0223y0143ps64.tif
97,,,,15002230143.0
98,,,,[2]
99,,,,t0120x0287y0079ps64.tif
100,,,,12002870079.0
101,,,,[0]
102,,,,t0948x0159y0079ps64.tif
103,,,,94801590079.0
104,,,,[1]
105,,,,t0362x0351y0015ps64.tif
106,,,,36203510015.0
107,,,,[2]
108,,,,t0007x0095y0143ps64.tif
109,,,,700950143.0
110,,,,[0]
111,,,,t0167x0287y0207ps64.tif
112,,,,16702870207.0
113,,,,[0]
114,,,,t0455x0223y0143ps64.tif
115,,,,45502230143.0
116,,,,[1]
117,,,,t0678x0095y0079ps64.tif
118,,,,67800950079.0
119,,,,[1]
120,,,,t0667x0351y0015ps64.tif
121,,,,66703510015.0
122,,,,[2]
123,,,,t0502x0095y0143ps64.tif
124,,,,50200950143.0
125,,,,[1]
126,,,,t0399x0415y0079ps64.tif
127,,,,39904150079.0
128,,,,[0]
129,,,,t0425x0287y0079ps64.tif
130,,,,42502870079.0
131,,,,[0]
132,,,,t0820x0223y0079ps64.tif
133,,,,82002230079.0
134,,,,[0]
135,,,,t0735x0351y0143ps64.tif
136,,,,73503510143.0
137,,,,[1]
138,,,,t0606x0415y0143ps64.tif
139,,,,60604150143.0
140,,,,[1]
141,,,,t0342x0159y0079ps64.tif
142,,,,34201590079.0
143,,,,[0]
144,,,,t0488x0223y0207ps64.tif
145,,,,48802230207.0
146,,,,[1]
147,,,,t0600x0159y0207ps64.tif
148,,,,60001590207.0
149,,,,[1]
150,,,,t0038x0159y0143ps64.tif
151,,,,3801590143.0
152,,,,[1]
153,,,,t0977x0095y0079ps64.tif
154,,,,97700950079.0
155,,,,[1]
156,,,,t0507x0223y0015ps64.tif
157,,,,50702230015.0
158,,,,[2]
159,,,,t0647x0159y0079ps64.tif
160,,,,64701590079.0
161,,,,[1]
162,,,,t0598x0095y0079ps64.tif
163,,,,59800950079.0
164,,,,[1]
165,,,,t0993x0415y0079ps64.tif
166,,,,99304150079.0
167,,,,[0]
168,,,,t0287x0287y0207ps64.tif
169,,,,28702870207.0
170,,,,[0]
171,,,,t0230x0351y0143ps64.tif
172,,,,23003510143.0
173,,,,[0]
174,,,,t0303x0415y0143ps64.tif
175,,,,30304150143.0
176,,,,[0]
177,,,,t0308x0287y0015ps64.tif
178,,,,30802870015.0
179,,,,[2]
180,,,,t0587x0351y0015ps64.tif
181,,,,58703510015.0
182,,,,[2]
183,,,,t0708x0223y0143ps64.tif
184,,,,70802230143.0
185,,,,[0]
186,,,,t0525x0095y0079ps64.tif
187,,,,52500950079.0
188,,,,[1]
189,,,,t0402x0287y0143ps64.tif
190,,,,40202870143.0
191,,,,[0]
192,,,,t0778x0287y0079ps64.tif
193,,,,77802870079.0
194,,,,[0]
195,,,,t0472x0223y0079ps64.tif
196,,,,47202230079.0
197,,,,[1]
198,,,,t0580x0159y0143ps64.tif
199,,,,58001590143.0
200,,,,[0]
201,,,,t0788x0351y0143ps64.tif
202,,,,78803510143.0
203,,,,[0]
204,,,,t0107x0287y0143ps64.tif
205,,,,10702870143.0
206,,,,[0]
207,,,,t0435x0223y0207ps64.tif
208,,,,43502230207.0
209,,,,[1]
210,,,,t0020x0095y0079ps64.tif
211,,,,2000950079.0
212,,,,[1]
213,,,,t0085x0159y0143ps64.tif
214,,,,8501590143.0
215,,,,[0]
216,,,,t0177x0223y0079ps64.tif
217,,,,17702230079.0
218,,,,[0]
219,,,,t0050x0031y0143ps64.tif
220,,,,5000310143.0
221,,,,[1]
222,,,,t0887x0351y0143ps64.tif
223,,,,88703510143.0
224,,,,[0]
225,,,,t0792x0223y0079ps64.tif
226,,,,79202230079.0
227,,,,[0]
228,,,,t0055x0287y0015ps64.tif
229,,,,5502870015.0
230,,,,[2]
231,,,,t0660x0159y0143ps64.tif
232,,,,66001590143.0
233,,,,[1]
234,,,,t0217x0351y0079ps64.tif
235,,,,21703510079.0
236,,,,[0]
237,,,,t0324x0415y0079ps64.tif
238,,,,32404150079.0
239,,,,[1]
240,,,,t0498x0287y0079ps64.tif
241,,,,49802870079.0
242,,,,[0]
243,,,,t0877x0287y0079ps64.tif
244,,,,87702870079.0
245,,,,[1]
246,,,,t0468x0351y0143ps64.tif
247,,,,46803510143.0
248,,,,[1]
249,,,,t0807x0223y0143ps64.tif
250,,,,80702230143.0
251,,,,[0]
252,,,,t0712x0351y0079ps64.tif
253,,,,71203510079.0
254,,,,[0]
255,,,,t0621x0415y0079ps64.tif
256,,,,62104150079.0
257,,,,[1]
258,,,,t0365x0159y0143ps64.tif
259,,,,36501590143.0
260,,,,[1]
261,,,,t0297x0223y0079ps64.tif
262,,,,29702230079.0
263,,,,[1]
264,,,,t0550x0287y0015ps64.tif
265,,,,55002870015.0
266,,,,[2]
267,,,,t0173x0095y0079ps64.tif
268,,,,17300950079.0
269,,,,[2]
270,,,,t0566x0223y0207ps64.tif
271,,,,56602230207.0
272,,,,[0]
273,,,,t0279x0031y0079ps64.tif
274,,,,27900310079.0
275,,,,[0]
276,,,,t0054x0287y0143ps64.tif
277,,,,5402870143.0
278,,,,[0]
279,,,,t0899x0095y0079ps64.tif
280,,,,89900950079.0
281,,,,[1]
282,,,,t0492x0415y0079ps64.tif
283,,,,49204150079.0
284,,,,[0]
285,,,,t0024x0223y0079ps64.tif
286,,,,2402230079.0
287,,,,[0]
288,,,,t0209x0095y0143ps64.tif
289,,,,20900950143.0
290,,,,[1]
291,,,,t0551x0287y0143ps64.tif
292,,,,55102870143.0
293,,,,[0]
294,,,,t0476x0095y0079ps64.tif
295,,,,47600950079.0
296,,,,[1]
297,,,,t0469x0351y0015ps64.tif
298,,,,46903510015.0
299,,,,[2]
300,,,,t0200x0095y0143ps64.tif
301,,,,20000950143.0
302,,,,[2]
