,title,labelnumber,cluster_ID,0
0,,,,t0813x0351y0143ps64.tif
1,,,,81303510143.0
2,,,,[0]
3,,,,t0283x0351y0079ps64.tif
4,,,,28303510079.0
5,,,,[0]
6,,,,t0776x0287y0143ps64.tif
7,,,,77602870143.0
8,,,,[0]
9,,,,t0651x0095y0079ps64.tif
10,,,,65100950079.0
11,,,,[0]
12,,,,t0447x0159y0143ps64.tif
13,,,,44701590143.0
14,,,,[0]
15,,,,t0798x0095y0143ps64.tif
16,,,,79800950143.0
17,,,,[0]
18,,,,t0272x0287y0015ps64.tif
19,,,,27202870015.0
20,,,,[1]
21,,,,t0030x0351y0079ps64.tif
22,,,,3003510079.0
23,,,,[0]
24,,,,t0103x0415y0079ps64.tif
25,,,,10304150079.0
26,,,,[0]
27,,,,t0572x0351y0207ps64.tif
28,,,,57203510207.0
29,,,,[0]
30,,,,t0279x0415y0143ps64.tif
31,,,,27904150143.0
32,,,,[0]
33,,,,t0535x0351y0079ps64.tif
34,,,,53503510079.0
35,,,,[0]
36,,,,t0406x0415y0079ps64.tif
37,,,,40604150079.0
38,,,,[0]
39,,,,t0777x0287y0015ps64.tif
40,,,,77702870015.0
41,,,,[1]
42,,,,t0142x0159y0143ps64.tif
43,,,,14201590143.0
44,,,,[0]
45,,,,t0655x0223y0079ps64.tif
46,,,,65502230079.0
47,,,,[0]
48,,,,t0478x0095y0143ps64.tif
49,,,,47800950143.0
50,,,,[0]
51,,,,t0940x0351y0143ps64.tif
52,,,,94003510143.0
53,,,,[0]
54,,,,t0317x0223y0207ps64.tif
55,,,,31702230207.0
56,,,,[0]
57,,,,t0702x0095y0079ps64.tif
58,,,,70200950079.0
59,,,,[0]
60,,,,t0625x0287y0143ps64.tif
61,,,,62502870143.0
62,,,,[0]
63,,,,t0199x0415y0143ps64.tif
64,,,,19904150143.0
65,,,,[0]
66,,,,t0497x0287y0015ps64.tif
67,,,,49702870015.0
68,,,,[1]
69,,,,t0350x0223y0079ps64.tif
70,,,,35002230079.0
71,,,,[0]
72,,,,t0277x0031y0143ps64.tif
73,,,,27700310143.0
74,,,,[0]
75,,,,t0320x0287y0143ps64.tif
76,,,,32002870143.0
77,,,,[0]
78,,,,t0518x0287y0207ps64.tif
79,,,,51802870207.0
80,,,,[0]
81,,,,t0207x0095y0079ps64.tif
82,,,,20700950079.0
83,,,,[0]
84,,,,t0612x0223y0207ps64.tif
85,,,,61202230207.0
86,,,,[0]
87,,,,t0668x0351y0079ps64.tif
88,,,,66803510079.0
89,,,,[0]
90,,,,t0720x0223y0015ps64.tif
91,,,,72002230015.0
92,,,,[1]
93,,,,t0512x0351y0143ps64.tif
94,,,,51203510143.0
95,,,,[0]
96,,,,t0165x0159y0079ps64.tif
97,,,,16501590079.0
98,,,,[1]
99,,,,t0097x0223y0143ps64.tif
100,,,,9702230143.0
101,,,,[2]
102,,,,t0592x0223y0143ps64.tif
103,,,,59202230143.0
104,,,,[0]
105,,,,t0460x0159y0079ps64.tif
106,,,,46001590079.0
107,,,,[0]
108,,,,t0017x0351y0143ps64.tif
109,,,,1703510143.0
110,,,,[0]
111,,,,t0698x0287y0143ps64.tif
112,,,,69802870143.0
113,,,,[0]
114,,,,t0588x0351y0079ps64.tif
115,,,,58803510079.0
116,,,,[0]
117,,,,t0307x0287y0079ps64.tif
118,,,,30702870079.0
119,,,,[0]
120,,,,t0220x0095y0143ps64.tif
121,,,,22000950143.0
122,,,,[0]
123,,,,t0285x0159y0079ps64.tif
124,,,,28501590079.0
125,,,,[0]
126,,,,t0377x0223y0143ps64.tif
127,,,,37702230143.0
128,,,,[0]
129,,,,t0815x0159y0143ps64.tif
130,,,,81501590143.0
131,,,,[0]
132,,,,t0645x0287y0207ps64.tif
133,,,,64502870207.0
134,,,,[0]
135,,,,t0508x0223y0079ps64.tif
136,,,,50802230079.0
137,,,,[0]
138,,,,t0725x0095y0143ps64.tif
139,,,,72500950143.0
140,,,,[0]
141,,,,t0440x0351y0015ps64.tif
142,,,,44003510015.0
143,,,,[1]
144,,,,t0602x0287y0079ps64.tif
145,,,,60202870079.0
146,,,,[0]
147,,,,t0578x0287y0143ps64.tif
148,,,,57802870143.0
149,,,,[0]
150,,,,t0340x0287y0207ps64.tif
151,,,,34002870207.0
152,,,,[0]
153,,,,t0672x0223y0143ps64.tif
154,,,,67202230143.0
155,,,,[0]
156,,,,t0967x0351y0079ps64.tif
157,,,,96703510079.0
158,,,,[0]
159,,,,t0780x0159y0079ps64.tif
160,,,,78001590079.0
161,,,,[0]
162,,,,t0032x0223y0079ps64.tif
163,,,,3202230079.0
164,,,,[0]
165,,,,t0338x0287y0079ps64.tif
166,,,,33802870079.0
167,,,,[0]
168,,,,t0484x0415y0079ps64.tif
169,,,,48404150079.0
170,,,,[0]
171,,,,t0042x0287y0143ps64.tif
172,,,,4202870143.0
173,,,,[0]
174,,,,t0570x0223y0207ps64.tif
175,,,,57002230207.0
176,,,,[0]
177,,,,t0165x0095y0079ps64.tif
178,,,,16500950079.0
179,,,,[0]
180,,,,t0348x0223y0143ps64.tif
181,,,,34802230143.0
182,,,,[0]
183,,,,t0181x0415y0079ps64.tif
184,,,,18104150079.0
185,,,,[0]
186,,,,t0537x0223y0079ps64.tif
187,,,,53702230079.0
188,,,,[0]
189,,,,t0460x0095y0079ps64.tif
190,,,,46000950079.0
191,,,,[0]
192,,,,t0958x0351y0079ps64.tif
193,,,,95803510079.0
194,,,,[0]
195,,,,t0547x0287y0143ps64.tif
196,,,,54702870143.0
197,,,,[0]
198,,,,t0657x0351y0079ps64.tif
199,,,,65703510079.0
200,,,,[0]
201,,,,t0942x0223y0143ps64.tif
202,,,,94202230143.0
203,,,,[0]
204,,,,t0220x0159y0143ps64.tif
205,,,,22001590143.0
206,,,,[0]
207,,,,t0418x0159y0207ps64.tif
208,,,,41801590207.0
209,,,,[0]
210,,,,t0415x0287y0015ps64.tif
211,,,,41502870015.0
212,,,,[1]
213,,,,t0690x0223y0207ps64.tif
214,,,,69002230207.0
215,,,,[0]
216,,,,t0932x0287y0079ps64.tif
217,,,,93202870079.0
218,,,,[0]
219,,,,t0285x0095y0079ps64.tif
220,,,,28500950079.0
221,,,,[0]
222,,,,t0110x0287y0015ps64.tif
223,,,,11002870015.0
224,,,,[1]
225,,,,t0725x0159y0143ps64.tif
226,,,,72501590143.0
227,,,,[0]
228,,,,t0352x0351y0079ps64.tif
229,,,,35203510079.0
230,,,,[0]
231,,,,t0261x0415y0079ps64.tif
232,,,,26104150079.0
233,,,,[0]
234,,,,t0028x0351y0143ps64.tif
235,,,,2803510143.0
236,,,,[0]
237,,,,t0780x0095y0079ps64.tif
238,,,,78000950079.0
239,,,,[0]
240,,,,t0798x0159y0143ps64.tif
241,,,,79801590143.0
242,,,,[0]
243,,,,t0447x0095y0143ps64.tif
244,,,,44700950143.0
245,,,,[0]
246,,,,t0722x0351y0015ps64.tif
247,,,,72203510015.0
248,,,,[1]
249,,,,t0560x0287y0079ps64.tif
250,,,,56002870079.0
251,,,,[0]
252,,,,t0022x0287y0207ps64.tif
253,,,,2202870207.0
254,,,,[0]
255,,,,t0847x0287y0015ps64.tif
256,,,,84702870015.0
257,,,,[1]
258,,,,t0095x0351y0143ps64.tif
259,,,,9503510143.0
260,,,,[0]
261,,,,t0328x0223y0207ps64.tif
262,,,,32802230207.0
263,,,,[0]
264,,,,t0510x0223y0143ps64.tif
265,,,,51002230143.0
266,,,,[0]
267,,,,t0065x0287y0079ps64.tif
268,,,,6502870079.0
269,,,,[0]
270,,,,t0142x0095y0143ps64.tif
271,,,,14200950143.0
272,,,,[1]
273,,,,t0227x0351y0015ps64.tif
274,,,,22703510015.0
275,,,,[1]
276,,,,t0238x0095y0079ps64.tif
277,,,,23800950079.0
278,,,,[0]
279,,,,t0015x0223y0143ps64.tif
280,,,,1502230143.0
281,,,,[0]
282,,,,t0590x0351y0143ps64.tif
283,,,,59003510143.0
284,,,,[0]
285,,,,t0527x0287y0207ps64.tif
286,,,,52702870207.0
287,,,,[0]
288,,,,t0680x0287y0079ps64.tif
289,,,,68002870079.0
290,,,,[0]
291,,,,t0478x0159y0143ps64.tif
292,,,,47801590143.0
293,,,,[0]
294,,,,t0702x0159y0079ps64.tif
295,,,,70201590079.0
296,,,,[0]
297,,,,t0375x0351y0143ps64.tif
298,,,,37503510143.0
299,,,,[0]
300,,,,t0246x0415y0143ps64.tif
301,,,,24604150143.0
302,,,,[0]
303,,,,t0748x0287y0015ps64.tif
304,,,,74802870015.0
305,,,,[1]
306,,,,t0385x0287y0079ps64.tif
307,,,,38502870079.0
308,,,,[0]
309,,,,t0439x0415y0079ps64.tif
310,,,,43904150079.0
311,,,,[0]
312,,,,t0670x0351y0143ps64.tif
313,,,,67003510143.0
314,,,,[0]
315,,,,t0965x0223y0079ps64.tif
316,,,,96502230079.0
317,,,,[0]
318,,,,t0897x0159y0143ps64.tif
319,,,,89701590143.0
320,,,,[0]
321,,,,t0011x0095y0143ps64.tif
322,,,,1100950143.0
323,,,,[0]
324,,,,t0374x0351y0015ps64.tif
325,,,,37403510015.0
326,,,,[1]
327,,,,t0136x0287y0079ps64.tif
328,,,,13602870079.0
329,,,,[0]
330,,,,t0474x0287y0207ps64.tif
331,,,,47402870207.0
332,,,,[0]
333,,,,t0146x0223y0143ps64.tif
334,,,,14602230143.0
335,,,,[2]
336,,,,t0433x0287y0079ps64.tif
337,,,,43302870079.0
338,,,,[0]
339,,,,t0514x0095y0143ps64.tif
340,,,,51400950143.0
341,,,,[0]
342,,,,t0739x0223y0079ps64.tif
343,,,,73902230079.0
344,,,,[0]
345,,,,t0671x0351y0015ps64.tif
